freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.700e+02,9.519e+00,4.590e+01,6.254e+02
1.6,4.132e+02,4.294e+01,6.995e+01,5.261e+02
3.3,1.687e+02,5.222e+01,6.050e+01,2.814e+02
4.9,6.039e+02,5.829e+01,5.958e+01,7.218e+02
6.5,1.504e+03,5.606e+01,5.849e+01,1.618e+03
8.1,2.283e+03,5.199e+01,5.526e+01,2.391e+03
9.8,3.204e+03,4.994e+01,6.039e+01,3.314e+03
11.4,4.396e+03,5.149e+01,6.280e+01,4.510e+03
13.0,5.779e+03,5.407e+01,6.057e+01,5.893e+03
14.6,7.478e+03,5.582e+01,6.145e+01,7.595e+03
16.3,9.527e+03,5.315e+01,6.116e+01,9.641e+03
17.9,1.189e+04,5.511e+01,6.073e+01,1.201e+04
19.5,1.424e+04,5.990e+01,6.974e+01,1.437e+04
21.2,1.409e+04,8.177e+01,7.293e+01,1.424e+04
22.8,1.560e+04,7.455e+01,6.458e+01,1.574e+04
24.4,2.023e+04,6.078e+01,6.862e+01,2.036e+04
26.0,2.623e+04,6.061e+01,7.653e+01,2.637e+04
27.7,3.372e+04,1.972e+02,1.231e+02,3.404e+04
29.3,3.861e+04,9.474e+02,2.788e+02,3.984e+04
30.9,3.278e+04,1.923e+03,3.862e+02,3.509e+04
32.5,2.948e+04,1.892e+03,3.205e+02,3.169e+04
34.2,3.089e+04,1.287e+03,2.457e+02,3.242e+04
35.8,3.457e+04,5.718e+02,1.614e+02,3.530e+04
37.4,4.175e+04,1.902e+02,1.106e+02,4.205e+04
39.0,4.996e+04,1.031e+02,9.067e+01,5.016e+04
40.7,5.890e+04,2.317e+02,9.651e+01,5.923e+04
42.3,6.559e+04,3.328e+02,9.237e+01,6.601e+04
43.9,6.188e+04,2.775e+02,9.956e+01,6.226e+04
45.6,5.514e+04,2.158e+02,1.101e+02,5.547e+04
47.2,5.227e+04,1.698e+02,1.236e+02,5.256e+04
48.8,5.155e+04,1.443e+02,1.596e+02,5.185e+04
50.4,5.274e+04,1.434e+02,1.822e+02,5.307e+04
52.1,6.025e+04,1.298e+02,2.004e+02,6.058e+04
53.7,7.000e+04,1.091e+02,3.237e+02,7.043e+04
55.3,8.157e+04,8.055e+01,5.697e+02,8.223e+04
56.9,9.214e+04,5.961e+01,1.076e+03,9.328e+04
58.6,1.073e+05,5.683e+01,1.995e+03,1.093e+05
60.2,1.344e+05,6.568e+01,3.536e+03,1.380e+05
61.8,1.694e+05,1.560e+02,9.080e+03,1.786e+05
63.5,2.085e+05,6.304e+02,2.880e+04,2.379e+05
65.1,2.502e+05,1.523e+03,6.693e+04,3.186e+05
66.7,3.119e+05,2.391e+03,1.099e+05,4.242e+05
68.3,4.135e+05,3.438e+03,1.650e+05,5.820e+05
70.0,5.390e+05,5.110e+03,2.741e+05,8.182e+05
71.6,5.620e+05,5.507e+03,3.828e+05,9.504e+05
73.2,5.076e+05,4.099e+03,3.886e+05,9.003e+05
74.8,3.598e+05,2.217e+03,2.691e+05,6.311e+05
76.5,2.629e+05,8.794e+02,1.378e+05,4.015e+05
78.1,2.139e+05,3.679e+02,7.237e+04,2.867e+05
79.7,1.777e+05,2.946e+02,4.901e+04,2.270e+05
81.3,1.739e+05,2.780e+02,4.623e+04,2.204e+05
83.0,2.008e+05,2.499e+02,4.786e+04,2.489e+05
84.6,2.737e+05,2.141e+02,4.636e+04,3.203e+05
86.2,3.502e+05,2.321e+02,4.263e+04,3.931e+05
87.9,4.214e+05,3.122e+02,3.748e+04,4.592e+05
89.5,4.999e+05,3.622e+02,3.165e+04,5.319e+05
91.1,5.810e+05,4.124e+02,2.611e+04,6.075e+05
92.7,6.685e+05,4.647e+02,2.164e+04,6.906e+05
94.4,7.572e+05,4.763e+02,1.823e+04,7.759e+05
96.0,8.848e+05,4.757e+02,1.602e+04,9.013e+05
97.6,1.071e+06,4.677e+02,1.468e+04,1.086e+06
99.2,1.249e+06,4.816e+02,1.283e+04,1.262e+06
100.9,1.360e+06,7.235e+02,1.037e+04,1.372e+06
102.5,1.469e+06,9.767e+02,8.227e+03,1.478e+06
104.1,1.587e+06,9.700e+02,7.250e+03,1.595e+06
105.8,1.711e+06,7.784e+02,5.844e+03,1.718e+06
107.4,1.844e+06,7.660e+02,4.517e+03,1.849e+06
109.0,2.006e+06,9.536e+02,4.287e+03,2.012e+06
110.6,2.167e+06,1.833e+03,4.902e+03,2.174e+06
112.3,2.319e+06,3.319e+03,5.129e+03,2.328e+06
113.9,2.424e+06,4.489e+03,4.282e+03,2.433e+06
115.5,2.379e+06,6.486e+03,3.544e+03,2.389e+06
117.1,2.471e+06,7.296e+03,3.038e+03,2.481e+06
118.8,2.703e+06,7.070e+03,2.586e+03,2.712e+06
120.4,2.981e+06,6.237e+03,1.960e+03,2.989e+06
