freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.083e+00,1.037e+02,9.457e+01,2.043e+02
1.6,1.848e+01,7.227e+01,1.009e+02,1.916e+02
3.3,1.981e+01,4.141e+01,5.657e+01,1.178e+02
4.9,2.001e+01,4.501e+02,5.525e+01,5.254e+02
6.5,1.958e+01,1.334e+03,6.337e+01,1.417e+03
8.1,2.126e+01,2.165e+03,6.635e+01,2.252e+03
9.8,2.102e+01,3.183e+03,6.299e+01,3.267e+03
11.4,1.965e+01,4.386e+03,6.301e+01,4.469e+03
13.0,2.035e+01,5.837e+03,7.076e+01,5.928e+03
14.6,2.174e+01,7.582e+03,7.570e+01,7.679e+03
16.3,2.009e+01,9.556e+03,8.503e+01,9.661e+03
17.9,2.676e+01,1.189e+04,1.025e+02,1.202e+04
19.5,5.943e+01,1.528e+04,1.244e+02,1.546e+04
21.2,8.383e+01,1.930e+04,1.593e+02,1.954e+04
22.8,4.023e+01,2.402e+04,2.413e+02,2.430e+04
24.4,3.529e+01,3.102e+04,3.911e+02,3.145e+04
26.0,1.175e+02,3.967e+04,7.162e+02,4.050e+04
27.7,7.356e+02,5.019e+04,1.361e+03,5.228e+04
29.3,3.216e+03,5.359e+04,1.774e+03,5.858e+04
30.9,5.295e+03,4.988e+04,1.501e+03,5.667e+04
32.5,4.267e+03,5.211e+04,1.849e+03,5.822e+04
34.2,2.248e+03,3.820e+04,1.539e+03,4.199e+04
35.8,8.631e+02,2.279e+04,6.265e+02,2.428e+04
37.4,3.368e+02,2.324e+04,5.260e+02,2.410e+04
39.1,1.943e+02,3.711e+04,1.736e+03,3.904e+04
40.7,2.654e+02,3.067e+04,1.749e+03,3.269e+04
42.3,4.223e+02,2.021e+04,1.174e+03,2.181e+04
43.9,6.354e+02,2.176e+04,1.961e+03,2.436e+04
45.6,9.117e+02,2.789e+04,4.199e+03,3.300e+04
47.2,9.908e+02,3.497e+04,7.415e+03,4.338e+04
48.8,6.646e+02,2.568e+04,6.201e+03,3.255e+04
50.4,4.536e+02,1.443e+04,5.210e+03,2.009e+04
52.1,4.911e+02,1.314e+04,8.674e+03,2.230e+04
53.7,5.138e+02,1.673e+04,1.750e+04,3.474e+04
55.3,4.632e+02,1.833e+04,2.952e+04,4.831e+04
57.0,3.489e+02,1.507e+04,3.536e+04,5.078e+04
58.6,2.534e+02,1.214e+04,3.805e+04,5.045e+04
60.2,2.638e+02,1.288e+04,4.825e+04,6.139e+04
61.8,3.652e+02,1.377e+04,5.798e+04,7.211e+04
63.5,4.726e+02,1.471e+04,5.412e+04,6.930e+04
65.1,5.298e+02,1.537e+04,4.609e+04,6.199e+04
66.7,5.978e+02,1.551e+04,4.062e+04,5.673e+04
68.3,6.673e+02,1.574e+04,3.723e+04,5.363e+04
70.0,7.625e+02,1.657e+04,3.755e+04,5.488e+04
71.6,9.159e+02,1.813e+04,4.393e+04,6.298e+04
73.2,1.546e+03,1.985e+04,6.225e+04,8.364e+04
74.9,4.035e+03,2.069e+04,1.145e+05,1.392e+05
76.5,7.050e+03,2.196e+04,1.925e+05,2.215e+05
78.1,7.106e+03,2.342e+04,2.842e+05,3.148e+05
79.7,4.687e+03,2.503e+04,3.663e+05,3.960e+05
81.4,2.646e+03,2.710e+04,3.774e+05,4.071e+05
83.0,1.534e+03,3.029e+04,3.437e+05,3.755e+05
84.6,1.148e+03,3.498e+04,3.142e+05,3.503e+05
86.3,1.093e+03,3.987e+04,2.911e+05,3.321e+05
87.9,1.164e+03,4.423e+04,2.708e+05,3.162e+05
89.5,1.362e+03,4.955e+04,2.545e+05,3.054e+05
91.1,1.614e+03,5.583e+04,2.404e+05,2.978e+05
92.8,1.799e+03,6.190e+04,2.264e+05,2.901e+05
94.4,2.099e+03,6.784e+04,2.162e+05,2.862e+05
96.0,2.323e+03,7.294e+04,2.057e+05,2.809e+05
97.6,2.402e+03,7.567e+04,1.939e+05,2.720e+05
99.3,2.164e+03,7.456e+04,1.801e+05,2.568e+05
100.9,2.075e+03,7.331e+04,1.688e+05,2.441e+05
102.5,2.248e+03,7.319e+04,1.611e+05,2.365e+05
104.2,2.635e+03,7.338e+04,1.518e+05,2.279e+05
105.8,3.018e+03,7.370e+04,1.410e+05,2.177e+05
107.4,2.906e+03,7.590e+04,1.389e+05,2.177e+05
109.0,2.802e+03,7.772e+04,1.370e+05,2.176e+05
110.7,3.275e+03,8.028e+04,1.350e+05,2.186e+05
112.3,4.106e+03,7.932e+04,1.274e+05,2.108e+05
113.9,4.777e+03,7.674e+04,1.184e+05,1.999e+05
115.5,5.388e+03,7.459e+04,1.100e+05,1.900e+05
117.2,5.299e+03,7.840e+04,1.091e+05,1.928e+05
118.8,4.680e+03,7.904e+04,1.041e+05,1.878e+05
120.4,4.107e+03,7.942e+04,9.944e+04,1.830e+05
122.1,3.710e+03,8.789e+04,1.052e+05,1.968e+05
123.7,3.517e+03,1.001e+05,1.147e+05,2.183e+05
125.3,3.795e+03,1.179e+05,1.288e+05,2.505e+05
126.9,4.789e+03,1.457e+05,1.508e+05,3.014e+05
128.6,6.442e+03,1.950e+05,1.885e+05,3.899e+05
130.2,1.071e+04,2.691e+05,2.408e+05,5.206e+05
131.8,1.569e+04,3.016e+05,2.546e+05,5.719e+05
133.4,8.832e+03,1.240e+05,1.005e+05,2.333e+05
135.1,3.492e+03,2.262e+04,1.639e+04,4.250e+04
136.7,2.811e+03,1.812e+04,1.279e+04,3.372e+04
138.3,2.462e+03,1.695e+04,1.185e+04,3.126e+04
140.0,2.396e+03,1.600e+04,1.105e+04,2.945e+04
141.6,2.405e+03,1.496e+04,1.001e+04,2.737e+04
143.2,2.453e+03,1.272e+04,8.416e+03,2.359e+04
144.8,3.602e+03,1.098e+04,7.420e+03,2.200e+04
146.5,4.034e+03,1.076e+04,7.274e+03,2.207e+04
148.1,4.500e+03,1.183e+04,7.867e+03,2.420e+04
149.7,5.616e+03,1.256e+04,8.239e+03,2.641e+04
151.3,6.286e+03,1.179e+04,7.855e+03,2.593e+04
153.0,8.002e+03,1.063e+04,7.111e+03,2.575e+04
154.6,9.070e+03,1.017e+04,6.755e+03,2.599e+04
156.2,9.074e+03,9.818e+03,6.475e+03,2.537e+04
157.9,8.241e+03,9.475e+03,6.189e+03,2.391e+04
159.5,6.585e+03,9.271e+03,5.961e+03,2.182e+04
161.1,5.251e+03,8.953e+03,5.748e+03,1.995e+04
162.7,4.171e+03,8.630e+03,5.539e+03,1.834e+04
164.4,3.367e+03,8.031e+03,5.084e+03,1.648e+04
166.0,2.940e+03,7.189e+03,4.556e+03,1.469e+04
167.6,2.454e+03,6.208e+03,3.864e+03,1.253e+04
169.2,1.887e+03,5.002e+03,3.110e+03,9.999e+03
170.9,1.738e+03,4.083e+03,2.509e+03,8.330e+03
172.5,2.025e+03,4.246e+03,2.476e+03,8.748e+03
174.1,1.939e+03,4.258e+03,2.411e+03,8.607e+03
175.8,1.707e+03,4.067e+03,2.336e+03,8.110e+03
177.4,1.526e+03,3.912e+03,2.258e+03,7.695e+03
179.0,1.334e+03,3.696e+03,2.127e+03,7.157e+03
180.6,1.332e+03,3.467e+03,1.958e+03,6.756e+03
182.3,1.298e+03,3.100e+03,1.748e+03,6.145e+03
183.9,1.108e+03,2.811e+03,1.569e+03,5.488e+03
185.5,1.081e+03,2.597e+03,1.441e+03,5.120e+03
187.1,1.154e+03,2.473e+03,1.350e+03,4.977e+03
188.8,1.275e+03,2.370e+03,1.265e+03,4.909e+03
190.4,1.355e+03,2.255e+03,1.252e+03,4.862e+03
192.0,1.407e+03,2.321e+03,1.328e+03,5.055e+03
193.7,1.457e+03,2.338e+03,1.336e+03,5.131e+03
195.3,1.632e+03,2.376e+03,1.301e+03,5.309e+03
196.9,1.657e+03,2.571e+03,1.382e+03,5.610e+03
198.5,1.631e+03,2.595e+03,1.335e+03,5.560e+03
