freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.557e+02,4.715e+01,6.909e+01,5.719e+02
1.5,2.833e+02,3.850e+02,8.444e+01,7.528e+02
3.0,4.994e+01,4.643e+02,5.574e+01,5.700e+02
4.5,3.193e+02,5.903e+02,5.388e+01,9.635e+02
6.1,1.166e+03,5.099e+02,5.841e+01,1.734e+03
7.6,1.930e+03,4.273e+02,6.236e+01,2.419e+03
9.1,2.711e+03,4.229e+02,6.326e+01,3.197e+03
10.6,3.620e+03,4.598e+02,5.855e+01,4.138e+03
12.1,4.718e+03,5.246e+02,6.346e+01,5.306e+03
13.6,5.967e+03,6.495e+02,6.346e+01,6.680e+03
15.1,7.423e+03,6.312e+02,7.357e+01,8.127e+03
16.6,9.061e+03,6.106e+02,9.919e+01,9.771e+03
18.2,1.097e+04,5.843e+02,1.403e+02,1.169e+04
19.7,1.339e+04,5.646e+02,1.845e+02,1.414e+04
21.2,1.570e+04,5.632e+02,1.721e+02,1.644e+04
22.7,1.800e+04,6.185e+02,1.076e+02,1.873e+04
24.2,2.126e+04,6.696e+02,1.428e+02,2.208e+04
25.7,2.246e+04,7.320e+02,2.122e+02,2.340e+04
27.2,2.506e+04,8.114e+02,3.023e+02,2.617e+04
28.8,2.750e+04,7.969e+02,4.306e+02,2.873e+04
30.3,3.170e+04,8.382e+02,5.741e+02,3.311e+04
31.8,3.756e+04,8.617e+02,7.193e+02,3.914e+04
33.3,3.839e+04,9.189e+02,7.306e+02,4.004e+04
34.8,3.523e+04,1.004e+03,7.413e+02,3.698e+04
36.3,3.418e+04,1.026e+03,9.993e+02,3.621e+04
37.8,3.553e+04,8.057e+02,1.378e+03,3.771e+04
39.3,3.866e+04,6.795e+02,1.798e+03,4.114e+04
40.9,4.064e+04,7.074e+02,2.585e+03,4.393e+04
42.4,4.359e+04,8.393e+02,3.539e+03,4.797e+04
43.9,5.128e+04,1.050e+03,4.775e+03,5.711e+04
45.4,5.995e+04,1.042e+03,6.703e+03,6.770e+04
46.9,6.934e+04,1.156e+03,9.477e+03,7.998e+04
48.4,8.068e+04,1.173e+03,1.315e+04,9.500e+04
49.9,9.235e+04,1.676e+03,1.846e+04,1.125e+05
51.4,1.008e+05,2.218e+03,2.366e+04,1.267e+05
53.0,1.026e+05,2.658e+03,3.018e+04,1.354e+05
