freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.573e+00,1.263e+02,2.249e+01,1.554e+02
1.5,1.618e+01,8.477e+01,4.733e+01,1.483e+02
3.0,1.691e+01,2.711e+01,4.725e+01,9.126e+01
4.5,1.907e+01,2.955e+02,4.789e+01,3.624e+02
6.1,1.973e+01,1.159e+03,5.621e+01,1.235e+03
7.6,1.899e+01,1.919e+03,5.482e+01,1.993e+03
9.1,1.755e+01,2.719e+03,5.852e+01,2.795e+03
10.6,1.742e+01,3.634e+03,5.429e+01,3.706e+03
12.1,1.720e+01,4.766e+03,6.245e+01,4.846e+03
13.6,2.005e+01,6.255e+03,6.918e+01,6.344e+03
15.1,2.104e+01,8.319e+03,7.804e+01,8.418e+03
16.6,2.225e+01,1.090e+04,1.022e+02,1.102e+04
18.2,2.756e+01,1.372e+04,1.371e+02,1.388e+04
19.7,3.038e+01,1.688e+04,1.825e+02,1.710e+04
21.2,4.596e+01,2.041e+04,2.689e+02,2.073e+04
22.7,7.776e+01,2.530e+04,3.216e+02,2.570e+04
24.2,1.909e+02,3.310e+04,3.698e+02,3.366e+04
25.7,4.669e+02,3.958e+04,5.114e+02,4.056e+04
27.2,6.310e+02,3.946e+04,6.982e+02,4.079e+04
28.7,5.787e+02,2.746e+04,9.537e+02,2.899e+04
30.3,5.553e+02,1.861e+04,1.127e+03,2.030e+04
31.8,6.316e+02,1.978e+04,1.222e+03,2.163e+04
33.3,8.260e+02,2.252e+04,1.251e+03,2.460e+04
34.8,1.251e+03,2.377e+04,1.107e+03,2.613e+04
36.3,1.665e+03,2.524e+04,1.220e+03,2.812e+04
37.8,1.385e+03,2.644e+04,1.535e+03,2.936e+04
39.3,7.928e+02,2.731e+04,1.751e+03,2.985e+04
40.9,4.355e+02,2.574e+04,1.550e+03,2.773e+04
42.4,2.490e+02,2.360e+04,1.239e+03,2.509e+04
43.9,1.754e+02,2.598e+04,1.217e+03,2.737e+04
45.4,1.938e+02,3.143e+04,1.423e+03,3.304e+04
46.9,2.966e+02,3.697e+04,1.879e+03,3.915e+04
48.4,4.377e+02,4.003e+04,2.681e+03,4.315e+04
49.9,5.360e+02,3.599e+04,4.643e+03,4.117e+04
51.4,5.043e+02,2.338e+04,6.965e+03,3.085e+04
53.0,4.780e+02,1.528e+04,8.177e+03,2.394e+04
54.5,6.362e+02,1.447e+04,9.315e+03,2.442e+04
56.0,7.335e+02,1.565e+04,1.076e+04,2.714e+04
57.5,6.319e+02,1.630e+04,1.249e+04,2.942e+04
59.0,5.279e+02,1.747e+04,1.426e+04,3.225e+04
60.5,4.531e+02,1.931e+04,1.502e+04,3.478e+04
62.0,4.227e+02,2.193e+04,1.465e+04,3.700e+04
63.6,4.706e+02,2.516e+04,1.499e+04,4.062e+04
65.1,4.623e+02,2.873e+04,1.527e+04,4.445e+04
66.6,3.988e+02,3.237e+04,1.319e+04,4.596e+04
68.1,4.237e+02,3.424e+04,1.069e+04,4.535e+04
69.6,4.751e+02,3.533e+04,8.833e+03,4.464e+04
71.1,5.688e+02,3.796e+04,7.913e+03,4.645e+04
72.6,7.139e+02,4.332e+04,8.026e+03,5.206e+04
74.1,9.783e+02,5.420e+04,8.655e+03,6.383e+04
75.7,2.007e+03,7.105e+04,9.731e+03,8.279e+04
77.2,3.325e+03,8.149e+04,1.007e+04,9.489e+04
78.7,4.702e+03,8.628e+04,9.967e+03,1.010e+05
80.2,6.591e+03,8.777e+04,1.004e+04,1.044e+05
